amount,correct,count
5,0.5333333333,15
10,0.3333333333,6
22,0,1
40,1,1
50,1,1
78,0,1
100,0.5510204082,49
150,1,1
200,0.4683544304,79
250,0.5,2
300,0.5882352941,17
367,1,1
400,0.6878612717,173
500,0.5658914729,129
599,0,1
600,0.6129032258,279
700,0.64,25
777,0,1
796,1,1
800,0.5756756757,370
900,0.6153846154,13
1000,0.6395631068,2472
1020,0,1
1100,0.8181818182,11
1111,1,2
1170,1,1
1200,0.625,696
1202,1,1
1203,0,1
1263,1,1
1300,0.4761904762,21
1347,0,1
1400,0.630044843,446
1492,1,1
1500,0.6452702703,296
1534,1,1
1600,0.6416083916,572
1700,0.7058823529,17
1777,1,1
1790,0,1
1800,0.63125,320
1801,0,1
1900,0.8571428571,7
2000,0.6312056738,2961
2001,1,1
2006,1,1
2015,0,1
2021,1,1
2100,0.6363636364,11
2112,1,1
2127,0,1
2200,0.6104417671,249
2201,1,1
2222,1,2
2300,0.5625,16
2344,1,1
2366,1,1
2400,0.6149584488,361
2500,0.6832579186,221
2526,0,1
2600,0.6868131868,182
2700,0.4285714286,14
2746,0,1
2799,0,1
2800,0.7108433735,166
2814,1,1
2900,0.4,5
2990,1,1
3000,0.6699928724,1403
3002,1,1
3024,1,1
3100,0.5,2
3150,1,1
3200,0.7222222222,144
3201,1,1
3300,0.8333333333,6
3389,1,1
3400,0.6730769231,104
3405,0,1
3500,0.6034482759,58
3599,0,1
3600,0.6666666667,132
3618,1,1
3620,1,1
3700,0.4,5
3800,0.7714285714,70
3900,1,3
3989,1,1
4000,0.6621480709,959
4002,0,2
4008,0,1
4100,0.5,2
4195,0,1
4200,0.6857142857,70
4238,1,1
4400,0.7547169811,53
4500,0.6666666667,21
4600,0.6216216216,37
4800,0.6949152542,59
5000,0.7024390244,410
5001,1,1
5005,1,1
5100,1,3
5200,0.652173913,46
5201,0,1
5300,0,1
5400,0.6923076923,26
5401,1,1
5500,0.75,4
5600,0.6,25
5622,0,1
5700,1,1
5800,0.6111111111,18
6000,0.7003745318,267
6100,0.5,2
6200,0.6,25
6300,1,1
6400,0.8636363636,22
6600,0.6875,16
6800,0.7272727273,11
6900,1,1
6998,0,1
7000,0.7317073171,82
7100,1,1
7200,0.9230769231,13
7400,0.8,10
7500,0.5,6
7600,0.8,10
7800,0.8,10
8000,0.7183098592,71
8200,0.5714285714,7
8400,0.75,4
8500,1,1
8600,0.8888888889,9
8700,1,1
8800,0.6666666667,3
8917,1,1
9000,0.6428571429,14
9200,0.6666666667,6
9274,1,1
9400,0.5,2
9600,1,1
9800,1,2
10000,0.6842105263,57
10200,0.3333333333,3
10400,1,1
10600,0.5,2
10800,0.6666666667,6
11000,0.625,8
11200,1,1
11600,0,1
12000,0.7142857143,7
12200,1,1
12400,1,1
12600,1,1
13000,0.6666666667,3
13200,1,1
13600,0,1
13800,1,1
14000,1,2
14200,1,1
15000,0,1
15200,1,1
15800,1,1
16000,1,1
16400,1,1
18000,1,2
19000,1,2
20000,1,1